Categorisation,Subcategories,Barcode,Name,Form,Product code ,SDS,Cas_No1,"Content1
(% )",Cas_No2,"Content2
(% )",Cas_No3,"Content3
(% )",Cas_No4,"Content4
(% )",Cas_No5,"Content5
(% )",Cas_No6,"Content6
(% )",Cas_No7,"Content7
(% )",Cas_No8,"Content8
(% )",Cas_No9,"Content9
(% )",Cas_No10,"Content10
(% )",Cas_No11,"Content11
(% )",Cas_No12,"Content12
(% )"
Floor care products?(36),Floor Cleaner (15),,Floor Cleaner Kitchenpro wash n walk ,Liquid,MFB464 ,https://media.supplychain.nhs.uk/media/documents/MFB464/COSHH/56788_MFB464.pdf,1300-72-7,5 to 10,68910-32-7 ,3 to 5,10043-35-3,3 to 5,68551-12-2,3 to 5,164462-16-2 ,1 to 2.5,61788-90-7,1 to 2.5,68586-07-2 ,1 to 2.5,112-18-5 ,<0.1,112-75-4 ,<0.1,56-81-5 ,2.5 to 5,10043-35-3 ,0.1 to 0.25,,
Cleaning chemicals?(135),Disinfectant (5),,Disinfectant Kitchenpro des special 750ml,Liquid,MFB468,https://media.supplychain.nhs.uk/media/documents/MFB468/COSHH/66686_MFB468.pdf,68424-85-1,0.5 to 1,2372-82-9 ,0.5 to 1,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Chewing gum remover (2),,Chewing gum remover Magic gumgone chewing gum remover 5 litres,Liquid,MFB470,https://media.supplychain.nhs.uk/media/documents/MFB470/COSHH/66687_MFB470.pdf,Unknown,60 to 100,541-02-6,10 to 30,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Descaler (6),,Descaler For dosing systems Adamatic hard surface & machine descaler,Liquid,MFB471,https://media.supplychain.nhs.uk/media/documents/MFB471/COSHH/66688_MFB471.pdf,7664-38-2,15 to 30,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Destainer (2),,Destainer 5L concentrated destainer for all water area,Powder,MFB472,https://media.supplychain.nhs.uk/media/documents/MFB472/COSHH/66689_MFB472.pdf,497-19-8 ,>60,6834-92-0 ,10 to 30,51580-86-0,1 to 10,,,,,,,,,,,,,,,,,,
Floor care products?(36),Carpet Cleaner (8),,Carpet Cleaner Carpet fresh & fabric extraction shampoo 5 litres ,Liquid,MFB474 ,https://media.supplychain.nhs.uk/media/documents/MFB474/COSHH/67735_MFB474.pdf,7320-34-5,5 to 15,5538-94-3,1 to 5,,,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Polish (4),,Floor Polish For dosing systems Quickstrip floor stripper ,Liquid,MFB478 ,https://media.supplychain.nhs.uk/media/documents/MFB478/COSHH/66691_MFB478.pdf,111-76-2 ,10 to 30,141-43-5 ,1 to 10,6834-92-0,1 to 10,5064-31-3,1 to 10,1300-72-7 ,1 to 10,1310-73-2 ,0.1 to 1,,,,,,,,,,,,
Cleaning chemicals?(135),Rinse aid (8),,Rinse aid For dosing systems XP Glass/dish rinse aid,Liquid,MFB481,"https://media.supplychain.nhs.uk/media/documents/MFB481/COSHH/67737_MFB481.pdf
https://media.supplychain.nhs.uk/media/documents/MFB481/COSHH/58060_MFB481.pdf",67-63-0,1 to 5,69013-18-9 ,1 to 5,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),,Washing up liquid For dosing systems xp3 economy neutral detergent 5 litres,Liquid,MFB486,https://media.supplychain.nhs.uk/media/documents/MFB486/COSHH/67738_MFB486.pdf,68411-30-3 ,1 to 5,9004-82-4 ,1 to 5,61789-40-0 ,1 to 5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Degreaser (4),,Degreaser For dosing systems blitz heavy duty floor & hard surface cleaner 5 litres,Liquid,MFB489,https://media.supplychain.nhs.uk/media/documents/MFB489/COSHH/66692_MFB489.pdf,6834-92-0,1 to 10,107-98-2,1 to 10,1643-20-5 ,0.1,66455-29-6,0.1 to 1,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),,Floor Cleaner For dosing systems Biotek Eco clean neutral floor cleaner ,Liquid,MFB491 ,https://media.supplychain.nhs.uk/media/documents/MFB491/COSHH/66693_MFB491.pdf,160901-28-0,1 to 5,,1 to 5,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Tablets (2),,Dishwasher Tablets Glint & Gleam manual feed auto - dishwasher tablets - ward kitchens,Tablet,MFB494,https://media.supplychain.nhs.uk/media/documents/MFB494/COSHH/66695_MFB494.pdf,497-19-8 ,10 to 30,15630-89-4,10 to 25,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Disinfectant (5),,Disinfectant Secure citrus lemon 750ml,Liquid,MFB504,https://media.supplychain.nhs.uk/media/documents/MFB504/COSHH/67740_MFB504.pdf,68424-85-1,0.1 to 1,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Furniture polish (3),,Furniture polish Magic spray & shine ready to use fine wood 5 litres,Liquid,MFB507,https://media.supplychain.nhs.uk/media/documents/MFB507/COSHH/67741_MFB507.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Odour Neutraliser (3),,Odour Neutraliser Biotek Odour mask odour control concentrate,Liquid,MFB514,https://media.supplychain.nhs.uk/media/documents/MFB514/COSHH/66699_MFB514.pdf,68131-39-5 ,1 to 3,107-98-2 ,1 to 10,63449-41-2 ,0.1 to 1,106-22-9 ,0.1 to 1,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Polish (4),,Floor Polish Sapphire 20 emulsion ,Liquid,MFB516 ,https://media.supplychain.nhs.uk/media/documents/MFB516/COSHH/67742_MFB516.pdf,68002-97-1 ,0.1 to 1,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Degreaser (4),,Degreaser Cleaver h/duty bac degreaser & drain cleaner 5 litres,Liquid,MFB518,https://media.supplychain.nhs.uk/media/documents/MFB518/COSHH/58046_MFB518.pdf,1310-58-3,15 to 30,5064-31-3,1 to 5,308062-28-4,1 to 5,68424-85-1,1 to 5,7320-34-5,1 to 5,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Powder (3),,Dishwasher Powder Adamatic chlorinated 10kg,Powder,MFB520,https://media.supplychain.nhs.uk/media/documents/MFB520/COSHH/66700_MFB520.pdf,497-19-8 ,30 to 60,6834-92-0 ,10 to 20,51580-86-0 ,1 to 2.5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Rinse aid (8),,Rinse aid XP auto dishwash rinse aid 20ltr,Liquid,MFB521,https://media.supplychain.nhs.uk/media/documents/MFB521/COSHH/67744_MFB521.pdf,67-63-0,1 to 5,69013-18-9 ,1 to 5,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),,Hard Surface Cleaner Biotek wash & clean 750ml,Liquid,MFB549,"https://media.supplychain.nhs.uk/media/documents/MFB549/COSHH/58071_MFB549.pdf
https://media.supplychain.nhs.uk/media/documents/MFB549/COSHH/67590_MFB549.pdf",1643-20-5 ,1 to 10,26635-93-8 ,1 to 10,5064-31-3 ,1 to 5,7173-51-5 ,0.1 to 1,1310-58-3,0.1 to 1,67-63-0,0.1 to 1,,,,,,,,,,,,
Advanced infection control solutions (91),Instrument wipes?(3),,Instrument wipes Medical device disinfectant 6 x 100 ,Solid,MFB559 ,https://media.supplychain.nhs.uk/media/documents/MFB559/COSHH/64882_MFB559.pdf,15630-89-4,50 to 70,124-04-9,10 to 30,Unknown,<1,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Oven Cleaner (6),,Oven Cleaner A light duty specifically developed for bake-off ovens D9 2 x 5L,Liquid,MFB566,https://media.supplychain.nhs.uk/media/documents/MFB566/COSHH/58431_MFB566.pdf,584-08-7,10 to 20,56-81-5,3 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Oven Cleaner (6),,Oven Cleaner A Concentrated liquid that effectively removes grease and burnt on soils D9.10 2 x 5,Liquid,MFB570,https://media.supplychain.nhs.uk/media/documents/MFB570/COSHH/58432_MFB570.pdf,1310-58-3,3 to 10,56-81-5,3 to 10,15763-76-5,1 to 3,69227-21-0,0.1 to 1,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Oven Cleaner (6),,Oven Cleaner Auto oven 2 in 1 A new innovative technology to combine a detergent and rinse aid in one product effectively removes grease and burnt on soils leaving clean and shiny oven surfaces da9.10 2 x 5L,Liquid,MFB574,https://media.supplychain.nhs.uk/media/documents/MFB574/COSHH/58434_MFB574.pdf,1310-58-3,3 to 10,56-81-5,3 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Oven Cleaner (6),,Oven Cleaner Oven & grill cleaner - not suitable for aluminium - grill D9 750ml,Liquid,MFB588,https://media.supplychain.nhs.uk/media/documents/MFB588/COSHH/58442_MFB588.pdf,1310-73-2,10 to 20,34590-94-8,3 to 10,68515-73-1,1 to 3,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner 4 in 1 Disinfectant Descaler Cleaner and Deodoriser 1.4L ,Liquid,MFB589 ,"https://media.supplychain.nhs.uk/media/documents/MFB589/COSHH/58443_MFB589.pdf
https://media.supplychain.nhs.uk/media/documents/MFB589/COSHH/66329_MFB589.pdf",69011-36-5,10 to 20,75-75-2,3 to 10,31726-34-8,3 to 10,64-17-5,3 to 10,69-72-7,3 to 10,,,,,,,,,,,,,,
Advanced infection control solutions (91),Instrument wipes?(3),,Instrument wipes Medical device wipes pack 200 ,N/A,MFB591 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),EWD Disinfectant?(4),,EWD Disinfectant 420 shot pack for WD440 6 x 4.75 litres neodisher PAC + 4 x 5 litres mediclen forte ,N/A,MFB592 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),EWD Disinfectant?(4),,EWD Disinfectant 450 shot pack for WD440pt 7 x 4.75 litres neodisher PAC + 4 x 5 litres mediclen forte ,N/A,MFB593 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),EWD Disinfectant?(4),,EWD Disinfectant Chemical disinfectant 4.75 litre ,Liquid,MFB594 ,https://media.supplychain.nhs.uk/media/documents/MFB594/COSHH/66414_MFB594.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Dishwasher Detergent?(11),,Dishwasher Detergent Trump hydro special 5 litres,Liquid,MFB597,https://media.supplychain.nhs.uk/media/documents/MFB597/COSHH/59721_MFB597.pdf,1310-73-2,10 to 15,29329-71-3,1 to 5,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Rinse aid (8),,Rinse aid Clear dry classic 5 litres,Liquid,MFB598,https://media.supplychain.nhs.uk/media/documents/MFB598/COSHH/59744_MFB598.pdf,68551-13-3,<25,111905-53-4,5 to 10,28348-53-0,1 to 5,67-63-0,1 to 5,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Heavy duty delimer (1),,Heavy duty delimer Lime-a-way extra 5 litres,Liquid,MFB601,https://media.supplychain.nhs.uk/media/documents/MFB601/COSHH/59746_MFB601.pdf,7664-38-2,25 to 35,,1 to 5,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),,Hard Surface Cleaner Eco E Zone hard surface cleaner blue zone bottle 1 litre,Liquid,MFB606,https://media.supplychain.nhs.uk/media/documents/MFB606/COSHH/59779_MFB606.pdf,68891-38-3,5 to 10,68439-46-3,1 to 3,2634-33-5,0.1 to 1,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Stainless Steel Maintainer (2),,Stainless Steel Maintainer Cleaner in trigger spray bottle 750ml,Liquid,MFB610,https://media.supplychain.nhs.uk/media/documents/MFB610/COSHH/59763_MFB610.pdf,67-63-0,10 to 15,111-76-2,1 to 3,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Rim Block (1),,Toilet Rim Block Non PDCB yellow dye 3 in 1 block 3 kg ,Solid,MFB611 ,https://media.supplychain.nhs.uk/media/documents/MFB611/COSHH/66199_MFB611.pdf,68411-30-3,15 to 20,106-22-9?,0.1 to 1,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner Everfresh apple daily use neutral ph 5 litres ,Liquid,MFB612 ,https://media.supplychain.nhs.uk/media/documents/MFB612/COSHH/66200_MFB612.pdf,68891-38-3,3 to 5,,,,,,,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),,Washing up liquid Kind washing up liquid & general purpose detergent neutral ph ideal for general cleaning 5 litres,Liquid,MFB613,https://media.supplychain.nhs.uk/media/documents/MFB613/COSHH/66201_MFB613.pdf,68439-57-6?,3 to 5,68891-38-3,3 to 5,85736-63-6,1 to 3,68439-45-2,0.1 to 1,61789-40-0,0.1 to 1,,,,,,,,,,,,,,
Cleaning chemicals?(135),Descaler (6),,Descaler Eco E Zone cleaner & descaler red zone bottle 1 litre,Liquid,MFB614,https://media.supplychain.nhs.uk/media/documents/MFB614/COSHH/59781_MFB614.pdf,77-92-9,20 to 25,68439-45-2,5 to 10,61789-40-0,3 to 5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Oven Cleaner (6),,Oven Cleaner Combi high active low foaming detergent developed especially for cleaning the interiorof combination ovens 5 litres,Liquid,MFB616,https://media.supplychain.nhs.uk/media/documents/MFB616/COSHH/59777_MFB616.pdf,1310-73-2,10 to 15,141-43-5,1 to 3,70592-80-2,0.1 to 1,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Drain Cleaner,,Drain Cleaner Sink & drain clear unperfumed suitable where food is handled 2.5 litres ,Liquid,MFB627 ,https://media.supplychain.nhs.uk/media/documents/MFB627/COSHH/59789_MFB627.pdf,1310-73-2,10 to 15,7681-52-9,5 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Chlorine releasing tablets (2),,Chlorine releasing tablets Veggisan effervescent safer to handle and transport than liquid hypochlorite each tablet produces 100ppm chlorine in 10lt of water 200 tablets,Tablet,MFB628,https://media.supplychain.nhs.uk/media/documents/MFB628/COSHH/59771_MFB628.pdf,2893-78-9?,30 to 60,124-04-9,20 to 25,497-19-8,3 to 5,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),,Floor Cleaner Sonic altro safe alkaline 5 litres ,Liquid,MFB631 ,https://media.supplychain.nhs.uk/media/documents/MFB631/COSHH/66204_MFB631.pdf,1964-02-08,1 to 3,7320-34-5 ,1 to 10,68131-39-5,1 to 3,107-98-2 ,0.1 to 1,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Higher Level Disinfectant (1),,Higher Level Disinfectant CE marked class iia under en13485 for surfaces of medical devices - bactericidal fungicidal virucidal mycobactericidal - tested to EN13697 EN1276 EN1650 EN14476 EN14348 EN14347 - FREE of PHMB chlorine or aldehyde 3 year shelf life 1l self-dosing,Liquid,MFB633,https://media.supplychain.nhs.uk/media/documents/MFB633/COSHH/59990_MFB633.pdf,Polymer_DT03,1 to 5,68424-85-1,1 to 5,2372-82-9,1 to 5,7173-51-5,1 to 5,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06022E+12,Environmental disinfection Chlorine releasing tablets (200 x 2.5g NaDCC tablets),Tablet,MFB637 ,https://media.supplychain.nhs.uk/media/documents/MFB637/COSHH/60001_MFB637.pdf,2893-78-9,40 to 70,124-04-9,10 to 30,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Descaler (6),,Descaler For use with automatic machines and equipment highly effective acid-based product safe to use on stainless steel 5l,Liquid,MFB638,https://media.supplychain.nhs.uk/media/documents/MFB638/COSHH/60293_MFB638.pdf,7664-38-2,30 to 60,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Oven Cleaner (6),,Oven Cleaner For dosing systems magic foaming oven cleaner 750ml,Liquid,MFB639,"https://media.supplychain.nhs.uk/media/documents/MFB639/COSHH/60355_MFB639.pdf
https://media.supplychain.nhs.uk/media/documents/MFB639/COSHH/67591_MFB639.pdf",1310-73-2,5to 15,5064-31-3,0.1 to 1,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Rinse aid (8),,Rinse aid Clear dry hdp liquid 5 litre,Liquid,MFB640,"https://media.supplychain.nhs.uk/media/documents/MFB640/COSHH/60351_MFB640.pdf
https://media.supplychain.nhs.uk/media/documents/MFB640/COSHH/60354_MFB640.pdf",147993-63-3 ,10 to 20,28348-53-0 ,2.5 to 3,37971-36-1 ,1 to 2.5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Detergent (8),7.6154E+12,Dishwasher Detergent 2 in 1 warewash detergent and rinse aid la6 1 x 5 Litre,Liquid,MFB644,https://media.supplychain.nhs.uk/media/documents/MFB644/COSHH/61394_MFB644.pdf,5064-31-3,20 to 30,1310-73-2,3 to 10,3794-83-0,1 to 3,67-56-1,0.1 to 1,,,,,,,,,,,,,,,,
Dishwashing products?(46),Washing up liquid?(17),,Washing up liquid Small pack 500ml,Liquid,MFB645,https://media.supplychain.nhs.uk/media/documents/MFB645/COSHH/66205_MFB645.pdf,68411-30-3 ,1 to 10,9004-82-4 ,1 to 10,61789-40-0 ,1 to 2,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Odour Neutraliser (2),,Odour Neutraliser Breakdown enzyme based odour neutraliser 5 litres ,Liquid,MFB647 ,https://media.supplychain.nhs.uk/media/documents/MFB647/COSHH/61446_MFB647.pdf,68439-46-3,1 to 3,5989-27-5,0.1 to 1,2634-33-5,<0.01,469-61-4,<0.01,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),,Floor Cleaner Cleaner floor super concentrated ph neutral rinse free floor and surface cleaner for heavy duty soiling maxx magic2 triple strength 1 ltr ,Liquid,MFB648 ,https://media.supplychain.nhs.uk/media/documents/MFB648/COSHH/67763_MFB648.pdf,31726-34-8 ,3 to 5,577-11-7 ,3 to 5,64-17-5 ,1 to 2.5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Dishwasher Detergent (8),,Dishwasher Detergent Dishwashing for all water types L6.8 5 litres,Liquid,MFB649,https://media.supplychain.nhs.uk/media/documents/MFB649/COSHH/69713_MFB649.pdf,1310-73-2,10 to 20,3794-83-0,1 to 10,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Odour Neutraliser (3),,Odour Neutraliser Magic breeze air 750ml,Liquid,MFB650,https://media.supplychain.nhs.uk/media/documents/MFB650/COSHH/66206_MFB650.pdf,67-63-0,1 to 5,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Cleaning tablets (1),,Cleaning tablets Espresso cleaning tablets 900g,N/A,MFB651,,,,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Glass Cleaner (4),,Glass Cleaner R3 can also be used as a multi-surface cleaner. ready to use 750ml ,Liquid,MFB657 ,https://media.supplychain.nhs.uk/media/documents/MFB657/COSHH/59867_MFB657.pdf,2634-33-5,0.01 to 0.1,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Combi Tablets (3),,Combi Tablets Rational care control for SCC combi ovens,Solid,MFB664,https://media.supplychain.nhs.uk/media/documents/MFB664/COSHH/62803_MFB664.pdf,77-92-9,>20,617-48-1,>20,124-04-9,1 to 5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Combi Tablets (3),,Combi Tablets Rational cleaner for SCC combi ovens,Solid,MFB665,https://media.supplychain.nhs.uk/media/documents/MFB665/COSHH/62804_MFB665.pdf,1310-73-2,>20,6834-92-0,1 0to 20,497-19-8,1 0to 20,111190-40-0,1 to 5,7758-29-4,<20,,,,,,,,,,,,,,
Cleaning chemicals?(135),Combi Tablets (3),,Combi Tablets Rational rinse for SCC combi ovens,Solid,MFB666,https://media.supplychain.nhs.uk/media/documents/MFB666/COSHH/62805_MFB666.pdf,77-92-9,>20,7757-82-6,<50,,,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor Cleaner (15),,Floor Cleaner Low foam heavy duty for use in scrubber dryer suitable for use in catering areas 5 litre concentrate ,Liquid,MFB672 ,https://media.supplychain.nhs.uk/media/documents/MFB672/COSHH/63606_MFB672.pdf,68439-45-2,5 to 10,2235-43-0,3 to 5,32073-22-6,1 to 3,1310-73-2,0.1 to 1,,,,,,,,,,,,,,,,
Floor care products?(36),Carpet Cleaner (8),,Carpet Cleaner Extract for extraction machines and pre-spraying 5 litre concentrate ,Liquid,MFB673 ,https://media.supplychain.nhs.uk/media/documents/MFB673/COSHH/66207_MFB673.pdf,68439-46-3,0.1 to 1,1643-20-5,0.1 to 1,2634-33-5,<0.1,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Odour Neutraliser (3),,Odour Neutraliser Odour Neutraliser Non enzyme based complies with EN1276 trigger spray 750ml,Liquid,MFB674,https://media.supplychain.nhs.uk/media/documents/MFB674/COSHH/63608_MFB674.pdf,68439-46-3,1 to 3,27083-27-8,0.1 to 1,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Furniture polish (3),,Furniture polish E.S.P Aerosol 400ml,Aerosol,MFB675,https://media.supplychain.nhs.uk/media/documents/MFB675/COSHH/63609_MFB675.pdf,106-97-8,15 to 20,64742-47-8,15 to 20,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Floor cleaner (8),,Floor cleaner Arpax A6 2x 2ltr concentrate,Liquid,MFB688,https://media.supplychain.nhs.uk/media/documents/MFB688/COSHH/64895_MFB688.pdf,7320-34-5,5 to 15,1300-72-7,5 to 15,308062-28-4,5 to 15,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06022E+12,Environmental disinfection Diluter bottle 2 litre for use with SoChlor tablets ,N/A,MFB691 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06022E+12,Environmental disinfection Diluter bottle 5 litre with lid for use with SoChlor tablets,N/A,MFB692 ,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced infection control solutions (91),Environmental disinfection (31),5.06022E+12,Environmental disinfection Diluter and Diffuser for Chlorine Solution 1L,N/A,MFB693 ,,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Chlorine releasing tablets (2),5.06022E+12,Chlorine releasing tablets 4.5g troclosene sodium NaDCC OER Tablet,Solid,MFB694,https://media.supplychain.nhs.uk/media/documents/MFB694/COSHH/69794_MFB694.pdf,51580-86-0 ,95 to 100,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),1.50605E+13,Hard Surface Cleaner Trigger Spray Diluted Ready to Use 750ml,Liquid,MFB697,https://media.supplychain.nhs.uk/media/documents/MFB697/Specification/70598_MFB697%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),1.50605E+13,Hard Surface Cleaner Super Concentrated 1 Litre,Liquid,MFB700,https://media.supplychain.nhs.uk/media/documents/MFB700/COSHH/70581_MFB700.pdf,54549-24-5,1 to 5,3332-27-2,1 to 5,141-43-5,1 to 5,Polymer_DT03,1 to 5,85117-50-6 ,1 to 5,,,,,,,,,,,,,,
Cleaning chemicals?(135),Hard Surface Cleaner (17),1.50605E+13,Hard Surface Cleaner Concentrated All Purpose Cleaner 5 Litre,Liquid,MFB701,https://media.supplychain.nhs.uk/media/documents/MFB701/COSHH/70582_MFB701.pdf,85117-50-6,1 to 5,160901-19-9,1 to 5,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner Deodoriser Descaler Angled Neck 750ml Diluted ,Liquid,MFB704 ,https://media.supplychain.nhs.uk/media/documents/MFB704/COSHH/70585_MFB704.pdf,5329-14-6,5 to 15,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Toilet Cleaner (18),,Toilet Cleaner Deodoriser Descaler 1 Litre Diluted ,Liquid,MFB705 ,https://media.supplychain.nhs.uk/media/documents/MFB705/COSHH/70586_MFB705.pdf,5329-14-6,5 to 15,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner Sanitiser Trigger Spray 750ml Fragranced all Purpose Cleaner for Hard Surfaces ,Liquid,MFB706 ,https://media.supplychain.nhs.uk/media/documents/MFB706/COSHH/70587_MFB706.pdf,166736-08-9,1 to 5,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Washroom Cleaner (13),,Washroom Cleaner Sanitiser 1 Litre Fragranced Diluted Suitable for Hard Surfaces ,Liquid,MFB708 ,https://media.supplychain.nhs.uk/media/documents/MFB708/COSHH/70588_MFB708.pdf,147170-44-3,1 to 5,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Air Freshener (9),,Air Freshener Citrus Burst Aerosol 750ml ,Liquid,MFB709 ,https://media.supplychain.nhs.uk/media/documents/MFB709/COSHH/70589_MFB709.pdf,74-98-6,30 to 60,106-97-8,15 to 30,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Air Freshener (9),,Air Freshener Aerosol 400ml ,Liquid,MFB710 ,https://media.supplychain.nhs.uk/media/documents/MFB710/COSHH/70590_MFB710.pdf,74-98-6,5 to 15,106-97-8,5 to 15,67-63-0,1 to 5,,,,,,,,,,,,,,,,,,
Floor care products?(36),Floor polish stripper (3),1.50605E+13,Floor polish stripper 5L Heavy Duty Concentrated Floor Cleaner ,Liquid,MFB714 ,https://media.supplychain.nhs.uk/media/documents/MFB714/COSHH/70591_MFB714.pdf,6834-92-0 ,1 to 5,1964-02-08,1 to 5,141-43-5,1 to 5,1300-72-7 ,1 to 5,1310-73-2,1 to 5,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Kitchen Cleaner (5),,Kitchen Cleaner Sanitiser Trigger Spray 750ml Diluted ,Liquid,MFB715 ,https://media.supplychain.nhs.uk/media/documents/MFB715/Specification/70599_MFB715%20M.S.D.S.pdf,,,,,,,,,,,,,,,,,,,,,,,,
Washroom and house keeping products?(61),Kitchen Cleaner (5),,Kitchen Cleaner Food Area Safe Ecodosing Sanitiser 1 Litre Super Concentrated ,Liquid,MFB716 ,https://media.supplychain.nhs.uk/media/documents/MFB716/COSHH/70592_MFB716.pdf,Polymer_DT03,1 to 5,68424-85-1,1 to 5,7173-51-5 ,1 to 5,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Descaler (6),1.50605E+13,Descaler Limescale Remover 1 Litre Diluted,Liquid,MFB718,https://media.supplychain.nhs.uk/media/documents/MFB718/COSHH/70593_MFB718.pdf,5329-14-6 ,5 to 15,,,,,,,,,,,,,,,,,,,,,,
Floor care products?(36),Carpet Shampoo (1),1.50605E+13,Carpet Shampoo Low Foam 5 Litre Concentrated ,Liquid,MFB722 ,https://media.supplychain.nhs.uk/media/documents/MFB722/COSHH/70594_MFB722.pdf,Polymer_DT03,1 to 5,54549-24-5,1 to 5,,,,,,,,,,,,,,,,,,,,
Cleaning chemicals?(135),Glass cleaner (5),1.50605E+13,Glass cleaner Trigger Spray 750ml can be used on Mirrors and Glass,Liquid,MFB723,https://media.supplychain.nhs.uk/media/documents/MFB723/COSHH/70595_MFB723.pdf,147170-44-3 ,1 to 5,3332-27-2,1 to 5,,,,,,,,,,,,,,,,,,,,
